filename,species,filename2,species2
071_1_1.jpg,71,071_2_1.jpg,71
072_1_1.jpg,72,072_2_1.jpg,72
073_1_1.jpg,73,073_2_1.jpg,73
074_1_1.jpg,74,074_2_1.jpg,74
075_1_1.jpg,75,075_2_1.jpg,75
081_1_1.jpg,81,081_2_1.jpg,81
084_1_1.jpg,84,084_2_1.jpg,84
085_1_1.jpg,85,085_2_1.jpg,85
088_1_1.jpg,88,088_2_1.jpg,88
089_1_1.jpg,89,089_2_1.jpg,89
090_1_1.jpg,90,090_2_1.jpg,90
093_1_1.jpg,93,093_2_1.jpg,93
094_1_1.jpg,94,094_2_1.jpg,94
095_1_1.jpg,95,095_2_1.jpg,95
096_1_1.jpg,96,096_2_1.jpg,96
103_1_1.jpg,103,103_2_1.jpg,103
104_1_1.jpg,104,104_2_1.jpg,104
105_1_1.jpg,105,105_2_1.jpg,105
110_1_1.jpg,110,110_2_1.jpg,110
111_1_1.jpg,111,111_2_1.jpg,111
112_1_1.jpg,112,112_2_1.jpg,112
113_1_1.jpg,113,113_2_1.jpg,113
114_1_1.jpg,114,114_2_1.jpg,114
119_1_1.jpg,119,119_2_1.jpg,119
120_1_1.jpg,120,120_2_1.jpg,120
121_1_1.jpg,121,121_2_1.jpg,121
122_1_1.jpg,122,122_2_1.jpg,122
125_1_1.jpg,125,125_2_1.jpg,125
126_1_1.jpg,126,126_2_1.jpg,126
127_1_1.jpg,127,127_2_1.jpg,127
128_1_1.jpg,128,128_2_1.jpg,128
131_1_1.jpg,131,131_2_1.jpg,131
132_1_1.jpg,132,132_2_1.jpg,132
135_1_1.jpg,135,135_2_1.jpg,135
136_1_1.jpg,136,136_2_1.jpg,136
077_1_1.jpg,77,076_2_1.jpg,76
078_2_1.jpg,78,077_2_1.jpg,77
079_1_1.jpg,79,080_1_1.jpg,80
080_2_1.jpg,80,079_2_1.jpg,79
056_1_1.jpg,56,053_2_1.jpg,53
082_1_1.jpg,82,083_1_1.jpg,83
083_1_1.jpg,83,082_2_1.jpg,82
086_1_1.jpg,86,087_2_1.jpg,87
087_1_1.jpg,87,076_2_1.jpg,76
091_1_1.jpg,91,092_2_1.jpg,92
092_1_1.jpg,92,091_2_1.jpg,91
097_1_1.jpg,97,098_2_1.jpg,98
098_1_1.jpg,98,097_2_1.jpg,97
099_1_1.jpg,99,100_2_1.jpg,100
100_1_1.jpg,100,099_2_1.jpg,99
101_1_1.jpg,101,102_1_1.jpg,102
101_2_1.jpg,101,102_2_1.jpg,102
106_1_1.jpg,106,107_1_1.jpg,107
106_2_1.jpg,106,107_2_1.jpg,107
108_1_1.jpg,108,109_1_1.jpg,109
108_2_1.jpg,108,109_1_1.jpg,109
115_1_1.jpg,115,116_2_1.jpg,116
115_2_1.jpg,115,116_1_1.jpg,116
117_1_1.jpg,117,118_1_1.jpg,118
117_2_1.jpg,117,118_2_1.jpg,118
123_1_1.jpg,123,124_2_1.jpg,124
123_2_1.jpg,123,124_1_1.jpg,124
129_1_1.jpg,129,130_1_1.jpg,130
129_2_1.jpg,129,130_2_1.jpg,130
133_1_1.jpg,133,134_1_1.jpg,134
133_2_1.jpg,133,134_2_1.jpg,134
137_1_1.jpg,137,138_1_1.jpg,138
137_2_1.jpg,137,138_2_1.jpg,138
139_1_1.jpg,139,140_1_1.jpg,140
139_2_1.jpg,139,140_2_1.jpg,140
